Date,Trades,AvgPnL,WinRate,TotalPnL,CumulativePnL
2023-01-06,1,750.0,100.0,750.0,750.0
2023-01-09,1,750.0,100.0,750.0,1500.0
2023-01-10,1,-750.0,0.0,-750.0,750.0
2023-01-13,1,415.0,100.0,415.0,1165.0
2023-01-17,1,-750.0,0.0,-750.0,415.0
2023-01-18,1,-750.0,0.0,-750.0,-335.0
2023-01-20,1,750.0,100.0,750.0,415.0
2023-01-23,1,750.0,100.0,750.0,1165.0
2023-01-24,1,-750.0,0.0,-750.0,415.0
2023-01-27,1,750.0,100.0,750.0,1165.0
2023-01-30,1,-750.0,0.0,-750.0,415.0
2023-01-31,1,-125.0,0.0,-125.0,290.0
2023-02-02,1,640.0,100.0,640.0,930.0
2023-02-03,1,750.0,100.0,750.0,1680.0
2023-02-06,1,-750.0,0.0,-750.0,930.0
2023-02-07,1,750.0,100.0,750.0,1680.0
2023-02-13,1,750.0,100.0,750.0,2430.0
2023-02-14,1,-750.0,0.0,-750.0,1680.0
2023-02-15,1,497.5,100.0,497.5,2177.5
2023-02-16,1,227.5,100.0,227.5,2405.0
2023-02-28,1,245.0,100.0,245.0,2650.0
2023-03-01,1,-750.0,0.0,-750.0,1900.0
2023-03-02,1,30.0,100.0,30.0,1930.0
2023-03-03,1,637.5,100.0,637.5,2567.5
2023-03-06,1,-357.5,0.0,-357.5,2210.0
2023-03-08,1,-437.5,0.0,-437.5,1772.5
2023-03-09,1,-750.0,0.0,-750.0,1022.5
2023-03-13,1,750.0,100.0,750.0,1772.5
2023-03-14,1,750.0,100.0,750.0,2522.5
2023-03-16,1,750.0,100.0,750.0,3272.5
2023-03-17,1,-750.0,0.0,-750.0,2522.5
2023-03-20,1,250.0,100.0,250.0,2772.5
2023-03-22,1,-87.5,0.0,-87.5,2685.0
2023-03-23,1,750.0,100.0,750.0,3435.0
2023-03-27,1,-750.0,0.0,-750.0,2685.0
2023-03-29,1,-95.0,0.0,-95.0,2590.0
2023-03-30,1,-430.0,0.0,-430.0,2160.0
2023-03-31,1,750.0,100.0,750.0,2910.0
2023-04-03,1,-750.0,0.0,-750.0,2160.0
2023-04-04,1,-750.0,0.0,-750.0,1410.0
2023-04-06,1,750.0,100.0,750.0,2160.0
2023-04-13,1,560.0,100.0,560.0,2720.0
2023-04-14,1,-750.0,0.0,-750.0,1970.0
2023-04-18,1,-750.0,0.0,-750.0,1220.0
2023-04-19,1,620.0,100.0,620.0,1840.0
2023-04-20,1,222.5,100.0,222.5,2062.5
2023-04-26,1,12.5,100.0,12.5,2075.0
2023-04-27,1,750.0,100.0,750.0,2825.0
2023-05-04,1,242.5,100.0,242.5,3067.5
2023-05-05,1,750.0,100.0,750.0,3817.5
2023-05-09,1,-480.0,0.0,-480.0,3337.5
2023-05-15,1,20.0,100.0,20.0,3357.5
2023-05-16,1,437.5,100.0,437.5,3795.0
2023-05-18,1,750.0,100.0,750.0,4545.0
2023-05-22,1,-57.5,0.0,-57.5,4487.5
2023-05-23,1,-750.0,0.0,-750.0,3737.5
2023-05-26,1,750.0,100.0,750.0,4487.5
2023-05-31,1,-750.0,0.0,-750.0,3737.5
2023-06-01,1,750.0,100.0,750.0,4487.5
2023-06-05,1,450.0,100.0,450.0,4937.5
2023-06-06,1,-302.5,0.0,-302.5,4635.0
2023-06-08,1,750.0,100.0,750.0,5385.0
2023-06-09,1,-750.0,0.0,-750.0,4635.0
2023-06-12,1,320.0,100.0,320.0,4955.0
2023-06-14,1,100.0,100.0,100.0,5055.0
