Month,Trades,AvgPnL,WinRate,TotalPnL,NegativeDays,WorstDayPnL
2023-01-01,12,24.17,50.0,290.0,6,-750.0
2023-02-01,9,262.22,77.78,2360.0,2,-750.0
2023-03-01,17,15.29,47.06,260.0,9,-750.0
2023-04-01,10,-8.5,60.0,-85.0,4,-750.0
2023-05-01,10,91.25,60.0,912.5,4,-750.0
2023-06-01,13,132.88,61.54,1727.5,5,-750.0
2023-07-01,9,-111.11,44.44,-1000.0,5,-750.0
2023-08-01,12,-141.88,50.0,-1702.5,6,-750.0
2023-09-01,9,127.22,77.78,1145.0,2,-750.0
2023-10-01,13,-92.12,46.15,-1197.5,7,-750.0
2023-11-01,10,359.75,70.0,3597.5,3,-350.0
2023-12-01,12,118.54,66.67,1422.5,4,-750.0
2024-01-01,11,-90.45,45.45,-995.0,6,-750.0
2024-02-01,11,-8.86,36.36,-97.5,7,-750.0
2024-03-01,10,28.75,50.0,287.5,5,-750.0
2024-04-01,9,204.44,66.67,1840.0,3,-750.0
2024-05-01,13,93.27,69.23,1212.5,4,-750.0
2024-06-01,12,57.29,58.33,687.5,5,-750.0
2024-07-01,11,131.82,54.55,1450.0,5,-750.0
2024-08-01,14,-39.29,50.0,-550.0,7,-750.0
2024-09-01,9,16.94,44.44,152.5,5,-750.0
2024-10-01,14,93.04,50.0,1302.5,7,-750.0
2024-11-01,7,132.86,71.43,930.0,2,-750.0
2024-12-01,14,94.46,57.14,1322.5,6,-750.0
2025-01-01,11,-170.23,45.45,-1872.5,6,-750.0
2025-02-01,11,60.23,45.45,662.5,6,-750.0
2025-03-01,9,371.11,66.67,3340.0,3,-750.0
2025-04-01,3,107.5,66.67,322.5,1,-750.0
2025-05-01,14,290.54,71.43,4067.5,4,-750.0
2025-06-01,12,92.92,58.33,1115.0,5,-750.0
