Signal Type,Signal Candle,Entry Candle,Exit Candle,Entry Price,Exit Price,Price Difference
Buy,2023-01-06 08:35:00,2023-01-06 08:40:00,2023-01-06 09:50:00,10954.75,11029.75,75.0
Buy,2023-01-09 07:45:00,2023-01-09 07:50:00,2023-01-09 08:40:00,11276.25,11351.25,75.0
Buy,2023-01-10 08:10:00,2023-01-10 08:15:00,2023-01-10 08:30:00,11256.25,11181.25,-75.0
Buy,2023-01-13 08:00:00,2023-01-13 08:05:00,2023-01-13 10:30:00,11472.25,11513.75,41.5
Buy,2023-01-17 08:00:00,2023-01-17 08:05:00,2023-01-17 08:40:00,11663.25,11588.25,-75.0
Buy,2023-01-18 08:00:00,2023-01-18 08:05:00,2023-01-18 08:35:00,11739.0,11664.0,-75.0
Buy,2023-01-20 07:50:00,2023-01-20 07:55:00,2023-01-20 09:25:00,11455.5,11530.5,75.0
Buy,2023-01-23 07:45:00,2023-01-23 07:50:00,2023-01-23 08:25:00,11782.5,11857.5,75.0
Buy,2023-01-24 07:45:00,2023-01-24 07:50:00,2023-01-24 08:05:00,11915.5,11840.5,-75.0
Buy,2023-01-27 07:45:00,2023-01-27 07:50:00,2023-01-27 09:50:00,12130.0,12205.0,75.0
Buy,2023-01-30 07:45:00,2023-01-30 07:50:00,2023-01-30 08:25:00,12119.25,12044.25,-75.0
Buy,2023-01-31 09:00:00,2023-01-31 09:05:00,2023-01-31 11:30:00,12087.25,12074.75,-12.5
Buy,2023-02-02 08:30:00,2023-02-02 08:35:00,2023-02-02 11:00:00,12790.5,12854.5,64.0
Buy,2023-02-03 08:15:00,2023-02-03 08:20:00,2023-02-03 08:40:00,12776.25,12851.25,75.0
Buy,2023-02-06 08:00:00,2023-02-06 08:05:00,2023-02-06 08:20:00,12571.5,12496.5,-75.0
Buy,2023-02-07 09:05:00,2023-02-07 09:10:00,2023-02-07 10:40:00,12553.0,12628.0,75.0
Buy,2023-02-13 07:40:00,2023-02-13 07:45:00,2023-02-13 08:50:00,12412.5,12487.5,75.0
Buy,2023-02-14 08:10:00,2023-02-14 08:15:00,2023-02-14 08:30:00,12650.25,12575.25,-75.0
Buy,2023-02-15 09:25:00,2023-02-15 09:30:00,2023-02-15 11:55:00,12632.5,12682.25,49.75
Buy,2023-02-16 08:35:00,2023-02-16 08:40:00,2023-02-16 11:05:00,12639.25,12662.0,22.75
Buy,2023-02-28 07:40:00,2023-02-28 07:45:00,2023-02-28 10:10:00,12087.75,12112.25,24.5
Buy,2023-03-01 07:45:00,2023-03-01 07:50:00,2023-03-01 08:05:00,12074.75,11999.75,-75.0
Buy,2023-03-02 08:00:00,2023-03-02 08:05:00,2023-03-02 10:30:00,11923.0,11926.0,3.0
Buy,2023-03-03 07:45:00,2023-03-03 07:50:00,2023-03-03 10:15:00,12166.5,12230.25,63.75
Buy,2023-03-06 08:15:00,2023-03-06 08:20:00,2023-03-06 10:45:00,12428.25,12392.5,-35.75
Buy,2023-03-08 08:30:00,2023-03-08 08:35:00,2023-03-08 11:00:00,12217.5,12173.75,-43.75
Buy,2023-03-09 07:45:00,2023-03-09 07:50:00,2023-03-09 10:00:00,12321.5,12246.5,-75.0
Buy,2023-03-13 07:45:00,2023-03-13 07:50:00,2023-03-13 08:05:00,11849.25,11924.25,75.0
Buy,2023-03-14 07:40:00,2023-03-14 07:45:00,2023-03-14 09:20:00,12267.75,12342.75,75.0
Buy,2023-03-16 08:40:00,2023-03-16 08:45:00,2023-03-16 08:50:00,12444.0,12519.0,75.0
Buy,2023-03-17 08:00:00,2023-03-17 08:05:00,2023-03-17 08:15:00,12793.0,12718.0,-75.0
